start_x	start_y	duration
488	565	161.0
393	380	100.0
421	479	484.0
360	446	232.5
326	428	246.0
392	504	88.0
601	538	101.5
645	551	117.5
660	598	1320.0
560	806	97.0
255	669	501.5
318	723	83.5
201	650	485.5
223	547	194.5
382	782	81.5
384	492	50.5
449	454	288.5
386	424	52.0
382	354	268.0
392	466	168.0
346	389	545.0
407	361	60.5
543	259	120.0
552	200	337.5
614	250	157.0
595	363	319.5
567	251	145.5
560	277	120.5
