start_x	start_y	duration
547	614	301.5
485	564	174.5
482	521	56.5
591	629	72.5
591	675	120.0
608	578	222.5
575	553	166.5
624	581	295.0
610	529	147.0
598	448	81.5
620	535	1312.5
632	647	503.0
619	595	509.5
628	646	336.5
602	491	242.5
668	638	68.5
605	516	917.5
561	530	264.5
785	645	79.0
707	677	137.5
642	457	335.5
617	540	446.5
608	612	162.0
609	478	107.5
